Id;StartingWallTime;Texec;expectedH;realH;neededMessages;processedMessages
125;2023-01-31T15:52:05.892679498;6.132776;9;9;60;77
126;2023-01-31T15:52:05.998955597;5.993837;9;9;60;77
127;2023-01-31T15:52:06.105106435;6.097967;9;9;60;77
128;2023-01-31T15:52:06.211344193;5.573686;9;9;60;77
129;2023-01-31T15:52:06.317046975;5.80773;9;9;60;77
130;2023-01-31T15:52:06.422986898;5.860553;9;9;60;77
131;2023-01-31T15:52:06.528983521;5.486144;9;9;60;77
132;2023-01-31T15:52:06.634597243;5.659296;9;9;60;77
133;2023-01-31T15:52:06.740381022;5.727768;9;9;60;77
134;2023-01-31T15:52:06.846239428;5.788902;9;9;60;77
135;2023-01-31T15:52:06.952170925;6.06995;9;9;60;77
136;2023-01-31T15:52:07.058358591;5.417515;9;9;60;77
137;2023-01-31T15:52:07.163900773;6.125703;9;9;60;77
138;2023-01-31T15:52:07.270147899;5.478623;9;9;60;77
139;2023-01-31T15:52:07.375743357;5.82446;9;9;60;77
140;2023-01-31T15:52:07.481682993;5.714812;9;9;60;77
141;2023-01-31T15:52:07.587532001;5.535573;9;9;60;77
142;2023-01-31T15:52:07.693187706;5.364864;9;9;60;77
143;2023-01-31T15:52:07.798668205;5.37848;9;9;60;77
144;2023-01-31T15:52:07.904163889;5.88752;9;9;60;77
145;2023-01-31T15:52:08.010166546;6.13922;9;9;60;77
146;2023-01-31T15:52:08.116436302;5.69867;9;9;60;77
147;2023-01-31T15:52:08.222251272;5.89872;9;9;60;77
148;2023-01-31T15:52:08.328267174;5.378071;9;9;60;77
149;2023-01-31T15:52:08.433778875;5.651784;9;9;60;77
150;2023-01-31T15:52:08.539576947;5.677359;9;9;60;77
151;2023-01-31T15:52:08.645382480;4.868381;9;9;60;77
152;2023-01-31T15:52:08.750373684;5.929064;9;9;60;77
153;2023-01-31T15:52:08.856426557;6.232415;9;9;60;77
154;2023-01-31T15:52:08.962784810;5.472428;9;9;60;77
155;2023-01-31T15:52:09.068390031;6.164858;9;9;60;77
156;2023-01-31T15:52:09.174683448;6.379692;9;9;60;77
157;2023-01-31T15:52:09.281188582;5.80218;9;9;60;77
158;2023-01-31T15:52:09.387116278;5.747309;9;9;60;77
159;2023-01-31T15:52:09.492986177;5.693054;9;9;60;77
160;2023-01-31T15:52:09.598801528;6.263854;9;9;60;77
161;2023-01-31T15:52:09.705183966;6.060739;9;9;60;77
162;2023-01-31T15:52:09.811367902;6.370788;9;9;60;77
163;2023-01-31T15:52:09.917862961;6.251847;9;9;60;77
164;2023-01-31T15:52:10.024253043;5.524696;9;9;60;77
165;2023-01-31T15:52:10.129901928;6.392291;9;9;60;77
166;2023-01-31T15:52:10.236426611;5.515973;9;9;60;77
167;2023-01-31T15:52:10.342060241;5.813499;9;9;60;77
168;2023-01-31T15:52:10.447987095;5.815263;9;9;60;77
169;2023-01-31T15:52:10.553908890;3.981996;9;9;60;77
170;2023-01-31T15:52:10.657997470;15.482563;9;9;60;77
171;2023-01-31T15:52:10.773615022;5.632468;9;9;60;77
172;2023-01-31T15:52:10.879361858;5.706328;9;9;60;77
173;2023-01-31T15:52:10.985183500;5.757093;9;9;60;77
174;2023-01-31T15:52:11.091050904;5.203328;9;9;60;77
175;2023-01-31T15:52:11.196364715;5.496192;9;9;60;77
176;2023-01-31T15:52:11.301977833;5.832062;9;9;60;77
177;2023-01-31T15:52:11.407953122;5.351415;9;9;60;77
178;2023-01-31T15:52:11.513422239;5.496869;9;9;60;77
179;2023-01-31T15:52:11.619033980;5.738344;9;9;60;77
180;2023-01-31T15:52:11.724888211;5.717114;9;9;60;77
181;2023-01-31T15:52:11.830747454;5.29379;9;9;60;77
182;2023-01-31T15:52:11.936176061;5.790617;9;9;60;77
183;2023-01-31T15:52:12.042088453;5.463128;9;9;60;77
184;2023-01-31T15:52:12.147685332;5.697636;9;9;60;77
185;2023-01-31T15:52:12.253555487;5.945598;9;9;60;77
186;2023-01-31T15:52:12.359653426;5.437958;9;9;60;77
187;2023-01-31T15:52:12.465237612;5.802032;9;9;60;77
188;2023-01-31T15:52:12.571164073;5.600075;9;9;60;77
189;2023-01-31T15:52:12.676889042;5.578167;9;9;60;77
190;2023-01-31T15:52:12.782606805;5.591484;9;9;60;77
191;2023-01-31T15:52:12.888323183;5.055498;9;9;60;77
192;2023-01-31T15:52:12.993508434;5.703426;9;9;60;77
193;2023-01-31T15:52:13.099413235;5.876967;9;9;60;77
194;2023-01-31T15:52:13.205406727;5.540442;9;9;60;77
195;2023-01-31T15:52:13.311059780;4.607216;9;9;60;77
196;2023-01-31T15:52:13.415780149;5.357835;9;9;60;77
197;2023-01-31T15:52:13.521254707;5.697315;9;9;60;77
198;2023-01-31T15:52:13.627067525;4.907807;9;9;60;77
199;2023-01-31T15:52:13.732115876;5.456095;9;9;60;77
200;2023-01-31T15:52:13.837688092;5.47525;9;9;60;77
201;2023-01-31T15:52:13.943285146;5.129956;9;9;60;77
202;2023-01-31T15:52:14.048541547;5.303952;9;9;60;77
203;2023-01-31T15:52:14.153985972;5.552722;9;9;60;77
204;2023-01-31T15:52:14.259654836;5.223807;9;9;60;77
205;2023-01-31T15:52:14.364993927;5.854303;9;9;60;77
206;2023-01-31T15:52:14.470960876;5.411642;9;9;60;77
207;2023-01-31T15:52:14.576499234;5.21864;9;9;60;77
208;2023-01-31T15:52:14.681829603;5.387829;9;9;60;77
209;2023-01-31T15:52:14.787338283;5.441643;9;9;60;77
210;2023-01-31T15:52:14.892906749;5.306402;9;9;60;77
211;2023-01-31T15:52:14.998330164;5.20059;9;9;60;77
212;2023-01-31T15:52:15.103648480;5.622917;9;9;60;77
213;2023-01-31T15:52:15.209396369;6.07097;9;9;60;77
214;2023-01-31T15:52:15.315589719;5.20718;9;9;60;77
215;2023-01-31T15:52:15.420919126;5.298785;9;9;60;77
216;2023-01-31T15:52:15.526331688;5.644002;9;9;60;77
217;2023-01-31T15:52:15.632085849;5.106305;9;9;60;77
218;2023-01-31T15:52:15.737307240;5.918189;9;9;60;77
219;2023-01-31T15:52:15.843350685;5.833106;9;9;60;77
220;2023-01-31T15:52:15.949307926;5.289366;9;9;60;77
221;2023-01-31T15:52:16.054717851;5.665549;9;9;60;77
222;2023-01-31T15:52:16.160508840;4.890404;9;9;60;77
223;2023-01-31T15:52:16.265517380;5.373797;9;9;60;77
224;2023-01-31T15:52:16.371006342;5.469926;9;9;60;77
225;2023-01-31T15:52:16.476622590;5.218614;9;9;60;77
226;2023-01-31T15:52:16.581961073;5.610178;9;9;60;77
227;2023-01-31T15:52:16.687702807;5.062329;9;9;60;77
228;2023-01-31T15:52:16.792882812;5.483159;9;9;60;77
229;2023-01-31T15:52:16.898508193;5.465385;9;9;60;77
230;2023-01-31T15:52:17.004117964;5.773506;9;9;60;77
231;2023-01-31T15:52:17.110038427;5.701505;9;9;60;77
232;2023-01-31T15:52:17.215885190;5.613295;9;9;60;77
233;2023-01-31T15:52:17.321639336;6.034944;9;9;60;77
234;2023-01-31T15:52:17.427808517;5.563301;9;9;60;77
235;2023-01-31T15:52:17.533503221;5.439304;9;9;60;77
236;2023-01-31T15:52:17.639055040;4.823214;9;9;60;77
237;2023-01-31T15:52:17.743996366;5.005488;9;9;60;77
238;2023-01-31T15:52:17.849121059;5.334269;9;9;60;77
239;2023-01-31T15:52:17.954579639;5.559094;9;9;60;77
240;2023-01-31T15:52:18.060261329;5.43663;9;9;60;77
241;2023-01-31T15:52:18.165818456;5.406252;9;9;60;77
242;2023-01-31T15:52:18.271348028;5.419661;9;9;60;77
243;2023-01-31T15:52:18.376881791;5.486337;9;9;60;77
244;2023-01-31T15:52:18.482477280;5.067116;9;9;60;77
245;2023-01-31T15:52:18.587658067;5.071093;9;9;60;77
246;2023-01-31T15:52:18.692844754;5.034734;9;9;60;77
247;2023-01-31T15:52:18.797992231;5.36572;9;9;60;77
248;2023-01-31T15:52:18.903500538;4.838656;9;9;60;77
249;2023-01-31T15:52:19.008492479;5.082721;9;9;60;77
250;2023-01-31T15:52:19.113692247;5.352816;9;9;60;77
251;2023-01-31T15:52:19.219160949;5.649917;9;9;60;77
252;2023-01-31T15:52:19.324925196;4.902235;9;9;60;77
253;2023-01-31T15:52:19.429949813;5.484973;9;9;60;77
254;2023-01-31T15:52:19.535559236;5.382406;9;9;60;77
255;2023-01-31T15:52:19.641146243;6.069636;9;9;60;77
256;2023-01-31T15:52:19.747384476;5.915504;9;9;60;77
257;2023-01-31T15:52:19.853439872;5.055676;9;9;60;77
258;2023-01-31T15:52:19.958631164;5.37004;9;9;60;77
259;2023-01-31T15:52:20.064167246;5.192304;9;9;60;77
260;2023-01-31T15:52:20.169481277;6.436426;9;9;60;77
261;2023-01-31T15:52:20.276040285;5.49052;9;9;60;77
262;2023-01-31T15:52:20.381651665;6.738785;9;9;60;77
263;2023-01-31T15:52:20.488513495;5.194276;9;9;60;77
264;2023-01-31T15:52:20.593828939;5.296199;9;9;60;77
265;2023-01-31T15:52:20.699257391;5.519367;9;9;60;77
266;2023-01-31T15:52:20.804897962;5.379009;9;9;60;77
267;2023-01-31T15:52:20.910399153;5.955123;9;9;60;77
268;2023-01-31T15:52:21.016469608;5.54553;9;9;60;77
269;2023-01-31T15:52:21.122148475;5.57756;9;9;60;77
270;2023-01-31T15:52:21.227841137;5.41176;9;9;60;77
271;2023-01-31T15:52:21.333368523;5.323385;9;9;60;77
272;2023-01-31T15:52:21.438803832;5.876894;9;9;60;77
273;2023-01-31T15:52:21.544789710;5.606524;9;9;60;77
274;2023-01-31T15:52:21.650468397;4.49229;9;9;60;77
275;2023-01-31T15:52:21.755085875;5.242995;9;9;60;77
276;2023-01-31T15:52:21.860443752;5.144064;9;9;60;77
277;2023-01-31T15:52:21.965718962;5.3271;9;9;60;77
278;2023-01-31T15:52:22.071171217;5.299885;9;9;60;77
279;2023-01-31T15:52:22.176586830;5.424302;9;9;60;77
280;2023-01-31T15:52:22.282125615;5.468857;9;9;60;77
281;2023-01-31T15:52:22.387713420;5.277954;9;9;60;77
282;2023-01-31T15:52:22.493110373;5.153475;9;9;60;77
283;2023-01-31T15:52:22.598385871;5.054363;9;9;60;77
284;2023-01-31T15:52:22.703557724;5.024226;9;9;60;77
285;2023-01-31T15:52:22.808721285;5.19212;9;9;60;77
286;2023-01-31T15:52:22.914061807;4.961218;9;9;60;77
287;2023-01-31T15:52:23.019156596;5.291796;9;9;60;77
288;2023-01-31T15:52:23.124583073;5.443513;9;9;60;77
289;2023-01-31T15:52:23.230137049;5.165192;9;9;60;77
290;2023-01-31T15:52:23.335409649;4.961153;9;9;60;77
291;2023-01-31T15:52:23.440478084;5.277517;9;9;60;77
292;2023-01-31T15:52:23.545874573;4.771654;9;9;60;77
293;2023-01-31T15:52:23.650778073;3.596872;9;9;60;77
294;2023-01-31T15:52:23.754482702;5.036641;9;9;60;77
295;2023-01-31T15:52:23.859628097;5.046346;9;9;60;77
296;2023-01-31T15:52:23.964781798;5.389303;9;9;60;77
297;2023-01-31T15:52:24.070289535;5.465754;9;9;60;77
298;2023-01-31T15:52:24.175872277;5.333033;9;9;60;77
299;2023-01-31T15:52:24.281316047;5.103417;9;9;60;77
