StartingWallTime;Texec;expectedH;realH
2023-01-02T21:20:39.283019176;47.416916;8;8
2023-01-02T21:20:39.430499531;4.310428;8;8
2023-01-02T21:20:39.534870467;5.136215;8;8
2023-01-02T21:20:39.640071441;50.615954;8;8
2023-01-02T21:20:39.790750624;4.990493;8;8
2023-01-02T21:20:39.895803596;6.019283;8;8
2023-01-02T21:20:40.001910637;4.779082;8;8
2023-01-02T21:20:40.106751478;43.730214;8;8
2023-01-02T21:20:40.250545030;3.800404;8;8
2023-01-02T21:20:40.354406932;4.381259;8;8
2023-01-02T21:20:40.458848459;4.830602;8;8
2023-01-02T21:20:40.563745510;4.864493;8;8
2023-01-02T21:20:40.668675301;4.278758;8;8
2023-01-02T21:20:40.773016757;4.868353;8;8
2023-01-02T21:20:40.877949799;4.182497;8;8
2023-01-02T21:20:40.982192824;4.136696;8;8
2023-01-02T21:20:41.086397359;4.066615;8;8
2023-01-02T21:20:41.190528753;4.469369;8;8
2023-01-02T21:20:41.295063561;4.586121;8;8
2023-01-02T21:20:41.399713629;3.951995;8;8
2023-01-02T21:20:41.503728842;4.877883;8;8
2023-01-02T21:20:41.608667494;5.367027;8;8
2023-01-02T21:20:41.714098579;4.340908;8;8
2023-01-02T21:20:41.818496286;3.813513;8;8
2023-01-02T21:20:41.922372958;6.364536;8;8
2023-01-02T21:20:42.028802502;51.591713;8;8
2023-01-02T21:20:42.180456434;3.796753;8;8
2023-01-02T21:20:42.284315886;3.678422;8;8
2023-01-02T21:20:42.388152147;5.076455;8;8
2023-01-02T21:20:42.493287150;4.247107;8;8
2023-01-02T21:20:42.597595046;3.777593;8;8
2023-01-02T21:20:42.701435618;49.07876;8;8
2023-01-02T21:20:42.850577277;4.405679;8;8
2023-01-02T21:20:42.955047024;4.49478;8;8
2023-01-02T21:20:43.059603032;3.728893;8;8
2023-01-02T21:20:43.163391953;4.075226;8;8
2023-01-02T21:20:43.267529838;3.955944;8;8
2023-01-02T21:20:43.371544971;3.367909;8;8
2023-01-02T21:20:43.474975479;3.768113;8;8
2023-01-02T21:20:43.578805190;4.320378;8;8
2023-01-02T21:20:43.683185957;3.676402;8;8
2023-01-02T21:20:43.786925018;4.196596;8;8
2023-01-02T21:20:43.891181593;3.501611;8;8
2023-01-02T21:20:43.994746782;3.689673;8;8
2023-01-02T21:20:44.098499693;4.115676;8;8
2023-01-02T21:20:44.202675628;47.89703;8;8
2023-01-02T21:20:44.350634687;5.514068;8;8
2023-01-02T21:20:44.456211744;4.114186;8;8
2023-01-02T21:20:44.560391778;4.467789;8;8
2023-01-02T21:20:44.664920826;45.465619;8;8
2023-01-02T21:20:44.810447364;3.298448;8;8
2023-01-02T21:20:44.913806381;3.763233;8;8
2023-01-02T21:20:45.017631472;3.815634;8;8
2023-01-02T21:20:45.121509084;3.686433;8;8
2023-01-02T21:20:45.225260795;3.760103;8;8
2023-01-02T21:20:45.329082237;3.258508;8;8
2023-01-02T21:20:45.432406094;3.692942;8;8
2023-01-02T21:20:45.536157865;3.46322;8;8
2023-01-02T21:20:45.639679584;7.134222;8;8
2023-01-02T21:20:45.746873245;3.653682;8;8
2023-01-02T21:20:45.850587535;3.317569;8;8
2023-01-02T21:20:45.953966253;3.295839;8;8
2023-01-02T21:20:46.057320760;3.850894;8;8
2023-01-02T21:20:46.161231333;3.679432;8;8
2023-01-02T21:20:46.264969413;4.415119;8;8
2023-01-02T21:20:46.369448161;2.944605;8;8
2023-01-02T21:20:46.472453755;3.569501;8;8
2023-01-02T21:20:46.576083485;3.191248;8;8
2023-01-02T21:20:46.679336081;4.662061;8;8
2023-01-02T21:20:46.784060321;3.679842;8;8
2023-01-02T21:20:46.887805802;43.677083;8;8
2023-01-02T21:20:47.031546043;5.62442;8;8
2023-01-02T21:20:47.137237241;53.251438;8;8
2023-01-02T21:20:47.290548917;3.493251;8;8
2023-01-02T21:20:47.394159977;4.499549;8;8
2023-01-02T21:20:47.498728315;4.808402;8;8
2023-01-02T21:20:47.603598326;3.509851;8;8
2023-01-02T21:20:47.707169045;3.510651;8;8
2023-01-02T21:20:47.810742754;4.48329;8;8
2023-01-02T21:20:47.915287812;3.070727;8;8
2023-01-02T21:20:48.018424038;7.230483;8;8
2023-01-02T21:20:48.125718300;4.137356;8;8
