Id;StartingWallTime;Texec;expectedH;realH;timedOutRounds;neededMessages;processedMessages;initialV;endingV
246;2024-03-18T21:53:46.275916000;14.25;9;9;0;32;47;0.0;0.0
247;2024-03-18T21:53:46.393124000;20.748334;9;9;0;32;47;0.0;0.0
248;2024-03-18T21:53:46.519077000;20.695708;9;9;0;32;47;0.0;0.0
249;2024-03-18T21:53:46.640515000;20.456792;9;9;0;32;47;0.0;0.0
250;2024-03-18T21:53:46.762684000;21.976667;9;9;0;32;47;0.0;0.0
251;2024-03-18T21:53:46.886109000;25.306292;9;9;0;32;46;0.0;0.0
252;2024-03-18T21:53:47.012693000;21.529125;9;9;0;32;47;0.0;0.0
253;2024-03-18T21:53:47.135686000;18.6375;9;9;0;32;47;0.0;0.0
254;2024-03-18T21:53:47.258853000;22.279458;9;9;0;32;47;0.0;0.0
255;2024-03-18T21:53:47.383883000;28.897584;9;9;0;32;47;0.0;0.0
256;2024-03-18T21:53:47.516782000;24.63;9;9;0;32;46;0.0;0.0
257;2024-03-18T21:53:47.642897000;18.43325;9;9;0;32;47;0.0;0.0
258;2024-03-18T21:53:47.765509000;19.883833;9;9;0;32;47;0.0;0.0
259;2024-03-18T21:53:47.890563000;28.251125;9;9;0;32;47;0.0;0.0
260;2024-03-18T21:53:48.023965000;25.959209;9;9;0;32;47;0.0;0.0
261;2024-03-18T21:53:48.151637000;16.007584;9;9;0;32;47;0.0;0.0
262;2024-03-18T21:53:48.272778000;19.455917;9;9;0;32;47;0.0;0.0
263;2024-03-18T21:53:48.395974000;20.806375;9;9;0;32;47;0.0;0.0
264;2024-03-18T21:53:48.518455000;30.195333;9;9;0;32;47;0.0;0.0
265;2024-03-18T21:53:48.650843000;23.545167;9;9;0;32;47;0.0;0.0
266;2024-03-18T21:53:48.777204000;14.538167;9;9;0;32;47;0.0;0.0
267;2024-03-18T21:53:48.893030000;37.133208;9;9;0;32;47;0.0;0.0
268;2024-03-18T21:53:49.035368000;12.87075;9;9;0;32;47;0.0;0.0
269;2024-03-18T21:53:49.153349000;23.60325;10;10;0;36;49;0.0;0.0
270;2024-03-18T21:53:49.282100000;13.902291;9;9;0;32;47;0.0;0.0
271;2024-03-18T21:53:49.401114000;18.241125;9;9;0;32;47;0.0;0.0
272;2024-03-18T21:53:49.522288000;21.376916;9;9;0;32;47;0.0;0.0
273;2024-03-18T21:53:49.648688000;20.248875;9;9;0;32;47;0.0;0.0
274;2024-03-18T21:53:49.770731000;35.252958;10;10;0;36;49;0.0;0.0
275;2024-03-18T21:53:49.907535000;15.062;9;9;0;32;47;0.0;0.0
276;2024-03-18T21:53:50.026303000;15.663417;9;9;0;32;47;0.0;0.0
277;2024-03-18T21:53:50.145087000;21.731333;9;9;0;32;47;0.0;0.0
278;2024-03-18T21:53:50.270932000;20.069042;9;9;0;32;46;0.0;0.0
279;2024-03-18T21:53:50.395493000;27.058166;9;9;0;32;47;0.0;0.0
280;2024-03-18T21:53:50.525587000;21.35775;9;9;0;32;47;0.0;0.0
281;2024-03-18T21:53:50.652114000;25.915083;9;9;0;32;47;0.0;0.0
282;2024-03-18T21:53:50.781768000;15.77075;9;9;0;32;47;0.0;0.0
283;2024-03-18T21:53:50.902712000;19.91725;9;9;0;32;47;0.0;0.0
284;2024-03-18T21:53:51.023362000;21.12325;9;9;0;32;47;0.0;0.0
285;2024-03-18T21:53:51.148283000;26.919584;9;9;0;32;47;0.0;0.0
286;2024-03-18T21:53:51.280392000;27.300791;9;9;0;32;47;0.0;0.0
287;2024-03-18T21:53:51.412580000;15.157083;9;9;0;32;47;0.0;0.0
288;2024-03-18T21:53:51.532845000;16.589625;9;9;0;32;47;0.0;0.0
289;2024-03-18T21:53:51.654242000;19.721833;9;9;0;32;47;0.0;0.0
290;2024-03-18T21:53:51.779168000;18.918333;9;9;0;32;47;0.0;0.0
291;2024-03-18T21:53:51.900518000;24.39425;9;9;0;32;47;0.0;0.0
292;2024-03-18T21:53:52.028215000;24.682334;10;10;0;36;50;0.0;0.0
293;2024-03-18T21:53:52.157999000;17.265125;9;9;0;32;47;0.0;0.0
294;2024-03-18T21:53:52.280237000;16.755625;9;9;0;32;47;0.0;0.0
295;2024-03-18T21:53:52.400713000;32.259416;9;9;0;32;47;0.0;0.0
296;2024-03-18T21:53:52.537528000;13.553458;9;9;0;32;46;0.0;0.0
297;2024-03-18T21:53:52.656224000;20.657542;9;9;0;32;47;0.0;0.0
298;2024-03-18T21:53:52.782042000;21.795583;9;9;0;32;47;0.0;0.0
299;2024-03-18T21:53:52.908998000;16.640458;9;9;0;32;46;0.0;0.0
