type;receiverPort;reqIdInternal;Round;startWalltime;duration
INITIALIZATION;-1;196;0;1672694440982;0.436294
APPROXIMATION;-1;196;1;1672694440984;0.793817
APPROXIMATION;-1;196;2;1672694440985;0.475564
HALTED;-1;196;3;1672694440985;0.417314
INITIALIZATION;-1;197;0;1672694441086;0.469345
APPROXIMATION;-1;197;1;1672694441088;0.565665
APPROXIMATION;-1;197;2;1672694441089;0.483564
HALTED;-1;197;3;1672694441089;0.431474
INITIALIZATION;-1;198;0;1672694441190;0.466294
APPROXIMATION;-1;198;1;1672694441192;0.539744
APPROXIMATION;-1;198;2;1672694441193;0.439054
HALTED;-1;198;3;1672694441194;0.473255
INITIALIZATION;-1;199;0;1672694441295;0.479234
APPROXIMATION;-1;199;1;1672694441296;0.590395
APPROXIMATION;-1;199;2;1672694441298;0.446334
HALTED;-1;199;3;1672694441298;0.620625
INITIALIZATION;-1;200;0;1672694441400;0.474844
APPROXIMATION;-1;200;1;1672694441401;0.490684
APPROXIMATION;-1;200;2;1672694441402;0.494885
HALTED;-1;200;3;1672694441403;0.435004
INITIALIZATION;-1;201;0;1672694441504;0.434574
APPROXIMATION;-1;201;1;1672694441506;0.397243
APPROXIMATION;-1;201;2;1672694441507;0.424664
HALTED;-1;201;3;1672694441508;0.483684
INITIALIZATION;-1;202;0;1672694441608;0.495934
APPROXIMATION;-1;202;1;1672694441611;0.532215
APPROXIMATION;-1;202;2;1672694441612;0.517405
HALTED;-1;202;3;1672694441613;0.509484
INITIALIZATION;-1;203;0;1672694441714;0.459844
APPROXIMATION;-1;203;1;1672694441715;0.570745
APPROXIMATION;-1;203;2;1672694441716;0.678106
HALTED;-1;203;3;1672694441717;0.537975
INITIALIZATION;-1;204;0;1672694441818;0.445744
APPROXIMATION;-1;204;1;1672694441820;0.506074
APPROXIMATION;-1;204;2;1672694441821;0.462424
HALTED;-1;204;3;1672694441821;0.442634
INITIALIZATION;-1;205;0;1672694441922;0.477165
APPROXIMATION;-1;205;1;1672694441925;0.473574
APPROXIMATION;-1;205;2;1672694441926;0.587085
HALTED;-1;205;3;1672694441928;0.461324
INITIALIZATION;-1;206;0;1672694442029;0.458684
APPROXIMATION;-1;206;1;1672694442030;0.484164
APPROXIMATION;-1;206;2;1672694442031;0.374733
HALTED;-1;206;3;1672694442079;0.394134
INITIALIZATION;-1;207;0;1672694442180;0.429634
APPROXIMATION;-1;207;1;1672694442181;0.469564
APPROXIMATION;-1;207;2;1672694442182;0.523135
HALTED;-1;207;3;1672694442183;0.538505
INITIALIZATION;-1;208;0;1672694442284;0.406393
APPROXIMATION;-1;208;1;1672694442285;0.476814
APPROXIMATION;-1;208;2;1672694442286;0.444263
HALTED;-1;208;3;1672694442287;0.499814
INITIALIZATION;-1;209;0;1672694442388;1.1999
APPROXIMATION;-1;209;1;1672694442390;0.482344
APPROXIMATION;-1;209;2;1672694442391;0.526924
HALTED;-1;209;3;1672694442392;0.400993
INITIALIZATION;-1;210;0;1672694442493;0.446254
APPROXIMATION;-1;210;1;1672694442495;0.410843
APPROXIMATION;-1;210;2;1672694442496;0.440244
HALTED;-1;210;3;1672694442497;0.410024
INITIALIZATION;-1;211;0;1672694442597;0.400284
APPROXIMATION;-1;211;1;1672694442599;0.431164
APPROXIMATION;-1;211;2;1672694442600;0.400934
HALTED;-1;211;3;1672694442600;0.492235
INITIALIZATION;-1;212;0;1672694442701;0.427903
APPROXIMATION;-1;212;1;1672694442702;0.443633
APPROXIMATION;-1;212;2;1672694442703;0.485004
HALTED;-1;212;3;1672694442750;0.445884
INITIALIZATION;-1;213;0;1672694442850;0.344003
APPROXIMATION;-1;213;1;1672694442852;0.444083
APPROXIMATION;-1;213;2;1672694442853;0.544585
HALTED;-1;213;3;1672694442854;0.478484
INITIALIZATION;-1;214;0;1672694442955;0.383353
APPROXIMATION;-1;214;1;1672694442957;0.410094
APPROXIMATION;-1;214;2;1672694442958;0.422533
HALTED;-1;214;3;1672694442959;0.434304
INITIALIZATION;-1;215;0;1672694443059;0.397564
APPROXIMATION;-1;215;1;1672694443061;0.406873
APPROXIMATION;-1;215;2;1672694443061;0.488744
HALTED;-1;215;3;1672694443062;0.384213
INITIALIZATION;-1;216;0;1672694443163;0.389914
APPROXIMATION;-1;216;1;1672694443165;0.454384
APPROXIMATION;-1;216;2;1672694443166;0.491414
HALTED;-1;216;3;1672694443167;0.396214
INITIALIZATION;-1;217;0;1672694443267;0.405324
APPROXIMATION;-1;217;1;1672694443269;0.396833
APPROXIMATION;-1;217;2;1672694443270;0.433704
HALTED;-1;217;3;1672694443271;0.389933
INITIALIZATION;-1;218;0;1672694443371;0.369703
APPROXIMATION;-1;218;1;1672694443372;0.426594
APPROXIMATION;-1;218;2;1672694443373;0.492595
HALTED;-1;218;3;1672694443374;0.440724
INITIALIZATION;-1;219;0;1672694443475;0.514394
APPROXIMATION;-1;219;1;1672694443476;0.512755
APPROXIMATION;-1;219;2;1672694443477;0.464564
HALTED;-1;219;3;1672694443478;0.430984
INITIALIZATION;-1;220;0;1672694443579;0.459694
APPROXIMATION;-1;220;1;1672694443581;0.428264
APPROXIMATION;-1;220;2;1672694443581;0.416684
HALTED;-1;220;3;1672694443582;0.426014
INITIALIZATION;-1;221;0;1672694443683;0.382853
APPROXIMATION;-1;221;1;1672694443684;0.424463
APPROXIMATION;-1;221;2;1672694443685;0.548005
HALTED;-1;221;3;1672694443686;0.405304
INITIALIZATION;-1;222;0;1672694443787;0.384994
APPROXIMATION;-1;222;1;1672694443788;0.387993
APPROXIMATION;-1;222;2;1672694443789;0.612815
HALTED;-1;222;3;1672694443790;0.452454
INITIALIZATION;-1;223;0;1672694443891;0.383603
APPROXIMATION;-1;223;1;1672694443892;0.497174
APPROXIMATION;-1;223;2;1672694443893;0.438304
HALTED;-1;223;3;1672694443894;0.352583
INITIALIZATION;-1;224;0;1672694443994;0.389614
APPROXIMATION;-1;224;1;1672694443996;0.436574
APPROXIMATION;-1;224;2;1672694443997;0.487675
HALTED;-1;224;3;1672694443997;0.416493
INITIALIZATION;-1;225;0;1672694444098;0.401973
APPROXIMATION;-1;225;1;1672694444100;0.488664
APPROXIMATION;-1;225;2;1672694444101;0.496275
HALTED;-1;225;3;1672694444102;0.399824
INITIALIZATION;-1;226;0;1672694444202;0.374323
APPROXIMATION;-1;226;1;1672694444204;0.421944
APPROXIMATION;-1;226;2;1672694444205;0.423543
HALTED;-1;226;3;1672694444250;0.421314
INITIALIZATION;-1;227;0;1672694444350;0.356413
APPROXIMATION;-1;227;1;1672694444353;0.401734
APPROXIMATION;-1;227;2;1672694444354;0.411444
HALTED;-1;227;3;1672694444355;0.458284
INITIALIZATION;-1;228;0;1672694444456;0.458984
APPROXIMATION;-1;228;1;1672694444457;0.656846
APPROXIMATION;-1;228;2;1672694444458;0.484305
HALTED;-1;228;3;1672694444459;0.547155
INITIALIZATION;-1;229;0;1672694444560;0.673556
APPROXIMATION;-1;229;1;1672694444562;0.425744
APPROXIMATION;-1;229;2;1672694444563;0.445784
HALTED;-1;229;3;1672694444564;0.466544
INITIALIZATION;-1;230;0;1672694444665;0.551665
APPROXIMATION;-1;230;1;1672694444666;0.560995
APPROXIMATION;-1;230;2;1672694444667;0.433654
HALTED;-1;230;3;1672694444709;0.435844
INITIALIZATION;-1;231;0;1672694444810;0.402363
APPROXIMATION;-1;231;1;1672694444812;0.417833
APPROXIMATION;-1;231;2;1672694444812;0.468505
HALTED;-1;231;3;1672694444813;0.447554
INITIALIZATION;-1;232;0;1672694444914;0.417714
APPROXIMATION;-1;232;1;1672694444915;0.447544
APPROXIMATION;-1;232;2;1672694444916;0.543465
HALTED;-1;232;3;1672694444917;0.438434
INITIALIZATION;-1;233;0;1672694445017;0.409593
APPROXIMATION;-1;233;1;1672694445019;0.569495
