Id;Texec;expectedH;realH;timedOutRounds;neededMessages;processedMessages;initialV;endingV
230;6.674917;10;10;0;27;30;0.0;0.0
231;5.980792;10;10;0;27;30;0.0;0.0
232;5.799875;10;10;0;27;30;0.0;0.0
233;6.068625;10;10;0;27;30;0.0;0.0
234;5.863583;10;10;0;27;30;0.0;0.0
235;5.98775;10;10;0;27;30;0.0;0.0
236;7.016708;10;10;0;27;30;0.0;0.0
237;7.41125;10;10;0;27;30;0.0;0.0
238;6.04825;10;10;0;27;30;0.0;0.0
239;5.99475;10;10;0;27;30;0.0;0.0
240;5.920333;10;10;0;27;30;0.0;0.0
241;5.644958;10;10;0;27;30;0.0;0.0
242;5.936083;10;10;0;27;30;0.0;0.0
243;6.161209;10;10;0;27;30;0.0;0.0
244;10.703583;10;10;0;27;30;0.0;0.0
245;5.803959;10;10;0;27;30;0.0;0.0
246;5.929667;10;10;0;27;30;0.0;0.0
247;6.185084;10;10;0;27;30;0.0;0.0
248;5.932334;10;10;0;27;30;0.0;0.0
249;6.100625;10;10;0;27;30;0.0;0.0
250;6.238666;10;10;0;27;30;0.0;0.0
251;6.1455;10;10;0;27;30;0.0;0.0
252;6.068125;10;10;0;27;30;0.0;0.0
253;5.905958;10;10;0;27;30;0.0;0.0
254;5.888125;10;10;0;27;30;0.0;0.0
255;8.6405;10;10;0;27;30;0.0;0.0
256;6.39625;10;10;0;27;30;0.0;0.0
257;5.691458;10;10;0;27;30;0.0;0.0
258;5.775041;10;10;0;27;30;0.0;0.0
259;5.768083;10;10;0;27;30;0.0;0.0
260;6.261791;10;10;0;27;30;0.0;0.0
261;5.821916;10;10;0;27;30;0.0;0.0
262;6.191458;10;10;0;27;30;0.0;0.0
263;5.800583;10;10;0;27;30;0.0;0.0
264;6.045584;10;10;0;27;30;0.0;0.0
265;6.120375;10;10;0;27;30;0.0;0.0
266;6.045959;10;10;0;27;30;0.0;0.0
267;5.963583;10;10;0;27;30;0.0;0.0
268;7.485;10;10;0;27;30;0.0;0.0
269;6.039041;10;10;0;27;30;0.0;0.0
270;6.145917;10;10;0;27;30;0.0;0.0
271;5.986041;10;10;0;27;30;0.0;0.0
272;5.973833;10;10;0;27;30;0.0;0.0
273;5.80275;10;10;0;27;30;0.0;0.0
274;6.077875;10;10;0;27;30;0.0;0.0
275;6.028292;10;10;0;27;30;0.0;0.0
276;6.07725;10;10;0;27;30;0.0;0.0
277;5.927958;10;10;0;27;30;0.0;0.0
278;5.848959;10;10;0;27;30;0.0;0.0
279;6.084375;10;10;0;27;30;0.0;0.0
280;5.512833;10;10;0;27;30;0.0;0.0
281;6.111875;10;10;0;27;30;0.0;0.0
282;6.064542;10;10;0;27;30;0.0;0.0
283;6.420584;10;10;0;27;30;0.0;0.0
284;6.126459;10;10;0;27;30;0.0;0.0
285;6.060708;10;10;0;27;30;0.0;0.0
286;5.7025;10;10;0;27;30;0.0;0.0
287;5.958;10;10;0;27;30;0.0;0.0
288;5.818;10;10;0;27;30;0.0;0.0
289;5.808;10;10;0;27;30;0.0;0.0
290;5.582833;10;10;0;27;30;0.0;0.0
291;5.90225;10;10;0;27;30;0.0;0.0
292;5.935542;10;10;0;27;30;0.0;0.0
293;5.822917;10;10;0;27;30;0.0;0.0
294;6.214041;10;10;0;27;30;0.0;0.0
295;5.768792;10;10;0;27;30;0.0;0.0
296;5.9545;10;10;0;27;30;0.0;0.0
297;5.952833;10;10;0;27;30;0.0;0.0
298;6.523625;10;10;0;27;30;0.0;0.0
299;5.865875;10;10;0;27;30;0.0;0.0
