type;receiverPort;reqIdInternal;Round;startWalltime;duration
APPROXIMATION;-1;117;8;1672694727602;0.279932
APPROXIMATION;-1;117;9;1672694727603;0.311263
APPROXIMATION;-1;117;10;1672694727603;0.312623
APPROXIMATION;-1;117;11;1672694727604;0.307483
APPROXIMATION;-1;117;12;1672694727604;0.318343
APPROXIMATION;-1;117;13;1672694727605;0.295353
HALTED;-1;117;14;1672694727605;0.300822
INITIALIZATION;-1;118;0;1672694727707;0.406933
APPROXIMATION;-1;118;1;1672694727708;0.292492
APPROXIMATION;-1;118;2;1672694727709;0.257412
APPROXIMATION;-1;118;3;1672694727709;0.290283
APPROXIMATION;-1;118;4;1672694727710;0.278432
APPROXIMATION;-1;118;5;1672694727711;0.290372
APPROXIMATION;-1;118;6;1672694727711;0.267692
APPROXIMATION;-1;118;7;1672694727712;0.293742
APPROXIMATION;-1;118;8;1672694727712;0.277612
APPROXIMATION;-1;118;9;1672694727713;0.271513
APPROXIMATION;-1;118;10;1672694727713;0.245082
APPROXIMATION;-1;118;11;1672694727714;0.247872
APPROXIMATION;-1;118;12;1672694727715;0.238312
APPROXIMATION;-1;118;13;1672694727715;0.270222
HALTED;-1;118;14;1672694727716;0.258922
INITIALIZATION;-1;119;0;1672694727818;0.425294
APPROXIMATION;-1;119;1;1672694727821;0.398014
APPROXIMATION;-1;119;2;1672694727821;1.475103
APPROXIMATION;-1;119;3;1672694727824;0.414363
APPROXIMATION;-1;119;4;1672694727824;1.311131
APPROXIMATION;-1;119;5;1672694727827;0.327622
APPROXIMATION;-1;119;6;1672694727827;0.245052
APPROXIMATION;-1;119;7;1672694727828;0.235532
APPROXIMATION;-1;119;8;1672694727829;0.312153
APPROXIMATION;-1;119;9;1672694727830;0.239572
APPROXIMATION;-1;119;10;1672694727830;0.236082
APPROXIMATION;-1;119;11;1672694727831;0.246072
APPROXIMATION;-1;119;12;1672694727831;0.285023
APPROXIMATION;-1;119;13;1672694727832;0.222422
HALTED;-1;119;14;1672694727832;0.281763
INITIALIZATION;-1;120;0;1672694727935;0.515085
APPROXIMATION;-1;120;1;1672694727937;0.356414
APPROXIMATION;-1;120;2;1672694727938;0.275982
APPROXIMATION;-1;120;3;1672694727938;0.246272
APPROXIMATION;-1;120;4;1672694727939;0.262993
APPROXIMATION;-1;120;5;1672694727939;0.264322
APPROXIMATION;-1;120;6;1672694727940;0.271612
APPROXIMATION;-1;120;7;1672694727940;0.296513
APPROXIMATION;-1;120;8;1672694727941;0.312553
APPROXIMATION;-1;120;9;1672694727942;0.276112
APPROXIMATION;-1;120;10;1672694727942;0.250092
APPROXIMATION;-1;120;11;1672694727943;0.306602
APPROXIMATION;-1;120;12;1672694727943;0.310163
APPROXIMATION;-1;120;13;1672694727944;0.286512
HALTED;-1;120;14;1672694727944;0.278912
INITIALIZATION;-1;121;0;1672694728047;0.420714
APPROXIMATION;-1;121;1;1672694728047;0.329263
APPROXIMATION;-1;121;2;1672694728048;0.335603
APPROXIMATION;-1;121;3;1672694728048;0.306973
APPROXIMATION;-1;121;4;1672694728049;0.339863
APPROXIMATION;-1;121;5;1672694728049;0.285392
APPROXIMATION;-1;121;6;1672694728050;0.285072
APPROXIMATION;-1;121;7;1672694728051;0.290492
APPROXIMATION;-1;121;8;1672694728051;0.301143
APPROXIMATION;-1;121;9;1672694728052;0.303853
APPROXIMATION;-1;121;10;1672694728052;0.311313
APPROXIMATION;-1;121;11;1672694728053;0.250472
APPROXIMATION;-1;121;12;1672694728053;0.288633
APPROXIMATION;-1;121;13;1672694728054;0.269152
HALTED;-1;121;14;1672694728054;0.263272
INITIALIZATION;-1;122;0;1672694728156;0.526885
APPROXIMATION;-1;122;1;1672694728157;0.423654
APPROXIMATION;-1;122;2;1672694728158;0.247962
APPROXIMATION;-1;122;3;1672694728158;0.213482
APPROXIMATION;-1;122;4;1672694728200;0.477575
APPROXIMATION;-1;122;5;1672694728201;0.327243
APPROXIMATION;-1;122;6;1672694728201;0.281272
APPROXIMATION;-1;122;7;1672694728202;0.286743
APPROXIMATION;-1;122;8;1672694728202;0.255772
APPROXIMATION;-1;122;9;1672694728203;0.284552
APPROXIMATION;-1;122;10;1672694728203;0.306052
